orig,SC,TC
uni7280,uni7280-SC,uni7280-TC
uni728B,uni728B-SC,uni728B-TC
uni728F,uni728F-SC,uni728F-TC
uni729F,uni729F-SC,uni729F-TC
uni72C3,uni72C3-SC,uni72C3-TC
uni731C,uni731C-SC,uni731C-TC
uni733B,uni733B-SC,uni733B-TC
uni733E,uni733E-SC,uni733E-TC
uni736C,uni736C-SC,uni736C-TC
uni736D,uni736D-SC,uni736D-TC
uni7372,uni7372-SC,uni7372-TC
uni7377,uni7377-SC,uni7377-TC
uni737A,uni737A-SC,uni737A-TC
uni737B,uni737B-SC,uni737B-TC
uni737E,uni737E-SC,uni737E-TC
uni7380,uni7380-SC,uni7380-TC
uni7387,uni7387-SC,uni7387-TC
uni73B2,uni73B2-SC,uni73B2-TC
uni73CA,uni73CA-SC,uni73CA-TC
uni73F5,uni73F5-SC,uni73F5-TC
uni740F,uni740F-SC,uni740F-TC
uni7425,uni7425-SC,uni7425-TC
uni7434,uni7434-SC,uni7434-TC
uni7470,uni7470-SC,uni7470-TC
uni7473,uni7473-SC,uni7473-TC
uni7481,uni7481-SC,uni7481-TC
uni7489,uni7489-SC,uni7489-TC
uni749C,uni749C-SC,uni749C-TC
uni74A3,uni74A3-SC,uni74A3-TC
uni74CA,uni74CA-SC,uni74CA-TC
uni74F2,uni74F2-SC,uni74F2-TC
uni74F4,uni74F4-SC,uni74F4-TC
uni751C,uni751C-SC,uni751C-TC
uni7548,uni7548-SC,uni7548-TC
uni75BC,uni75BC-SC,uni75BC-TC
uni75CA,uni75CA-SC,uni75CA-TC
uni760B,uni760B-SC,uni760B-TC
uni7619,uni7619-SC,uni7619-TC
uni761F,uni761F-SC,uni761F-TC
uni7620,uni7620-SC,uni7620-TC
uni7621,uni7621-SC,uni7621-TC
uni7625,uni7625-SC,uni7625-TC
uni7626,uni7626-SC,uni7626-TC
uni7630,uni7630-SC,uni7630-TC
uni7640,uni7640-SC,uni7640-TC
uni765E,uni765E-SC,uni765E-TC
uni7664,uni7664-SC,uni7664-TC
uni7665,uni7665-SC,uni7665-TC
